Date,market,side,,price,size,cost,hours_to_close_at_entry,Timestamp,Resolution,trade_resolved_timestamp,Payout,P&L,
2026-01-29,nvda-close-above-195-on-january-28-2026,NO,0.92,0.7992,0.74,3.81,2026-01-29T08:05:57.542Z,NO,2026-01-29T08:08:01.514Z,0.8,0.06,0.06,
2026-01-29,tsla-close-above-420-on-january-28-2026,YES,0.95,0.774,0.74,3.8,2026-01-29T08:05:57.542Z,YES,2026-01-29T08:08:02.356Z,0.77,0.04,0.03,
2026-01-29,tsla-close-above-430-on-january-28-2026,YES,0.94,0.7822,0.74,3.8,2026-01-29T08:05:57.543Z,YES,2026-01-29T08:08:02.833Z,0.78,0.05,0.04,
2026-01-29,tsla-close-above-440-on-january-28-2026,NO,0.91,0.808,0.74,3.8,2026-01-29T08:05:57.543Z,NO,2026-01-29T08:08:03.341Z,0.81,0.07,0.06,
2026-01-29,pltr-up-or-down-on-january-28-2026,NO,0.91,0.808,0.74,3.8,2026-01-29T08:05:57.543Z,NO,2026-01-29T08:08:03.727Z,0.81,0.07,0.06,
2026-01-29,nflx-up-or-down-on-january-28-2026,NO,0.94,0.7822,0.74,3.8,2026-01-29T08:05:57.543Z,NO,2026-01-29T08:08:04.449Z,0.78,0.05,0.04,
2026-01-29,meta-close-above-660-on-january-28-2026,YES,0.94,0.7822,0.74,3.8,2026-01-29T08:05:57.544Z,YES,2026-01-29T08:08:04.965Z,0.78,0.05,0.04,
2026-01-29,meta-close-above-680-on-january-28-2026,NO,0.94,0.7822,0.74,3.8,2026-01-29T08:05:57.544Z,NO,2026-01-29T08:08:05.334Z,0.78,0.05,0.04,
2026-01-29,nvda-up-or-down-on-january-28-2026,YES,0.9,0.817,0.74,3.8,2026-01-29T08:05:57.544Z,YES,2026-01-29T08:08:05.701Z,0.82,0.08,0.07,
2026-01-29,googl-close-above-330-on-january-28-2026,YES,0.89,0.8262,0.74,3.8,2026-01-29T08:05:57.544Z,YES,2026-01-29T08:08:06.160Z,0.83,0.09,0.08,
2026-01-29,googl-close-above-340-on-january-28-2026,NO,0.95,0.774,0.74,3.8,2026-01-29T08:05:57.544Z,NO,2026-01-29T08:08:06.520Z,0.77,0.04,0.03,
2026-01-29,amzn-close-above-240-on-january-28-2026,YES,0.889,0.8271,0.74,3.79,2026-01-29T08:05:57.544Z,YES,2026-01-29T08:08:07.178Z,0.83,0.09,0.08,
2026-01-29,amzn-close-above-245-on-january-28-2026,NO,0.91,0.808,0.74,3.79,2026-01-29T08:05:57.544Z,NO,2026-01-29T08:08:07.957Z,0.81,0.07,0.06,
2026-01-29,amzn-close-above-250-on-january-28-2026,NO,0.95,0.774,0.74,3.79,2026-01-29T08:05:57.544Z,NO,2026-01-29T08:08:08.362Z,0.77,0.04,0.03,
2026-01-29,amzn-up-or-down-on-january-28-2026,NO,0.91,0.808,0.74,3.79,2026-01-29T08:05:57.544Z,NO,2026-01-29T08:08:08.948Z,0.81,0.07,0.06,
2026-01-29,msft-close-above-470-on-january-28-2026,YES,0.91,0.808,0.74,3.79,2026-01-29T08:05:57.544Z,YES,2026-01-29T08:08:09.433Z,0.81,0.07,0.06,
